"","GEOID","median_block_traveltime","median_block_income","perc_noVehicle","travel_rank","income_rank","vehicle_rank","accessibility"
"1",27053003801,24,27379,29.6,44,19,4,67
"2",27053003802,21,32557,29.6,82,28,5,115
"3",27053103900,21,21918,26.6,92,12,20,124
"4",27053103900,21,33214,26.6,91,29,21,141
"5",27053003801,24,63646,29.6,43,119,6,168
"6",27053106400,22,16875,8.8,75,7,117,199
"7",27053104001,32,55261,9,11,93,112,216
"8",27053107400,18,34125,13,133,30,72,235
"9",27053108800,27,47230,6.1,33,63,149,245
"10",27053003802,21,75190,29.6,81,161,7,249
"11",27053106200,16,40125,16.9,170,42,52,264
"12",27053104001,32,76385,9,10,167,114,291
"13",27053104902,10,18846,26.4,267,8,22,297
"14",27053105204,11,47386,31.8,237,64,1,302
"15",27053005901,9,19089,27.5,282,9,14,305
"16",27053104902,10,25600,26.4,266,17,23,306
"17",27053106200,16,54491,16.9,172,89,53,314
"18",27053104802,10,26458,19.5,263,18,35,316
"19",27053104802,10,28229,19.5,262,21,36,319
"20",27053005901,9,30000,27.5,283,24,15,322
"21",27053105204,11,53740,31.8,235,87,2,324
"22",27053105201,14,52125,14.8,191,75,58,324
"23",27053108800,27,69565,6.1,31,141,153,325
"24",27053005901,9,31083,27.5,284,26,16,326
"25",27053125600,11,21083,13.4,249,11,67,327
"26",27053008200,11,24973,12.2,230,15,83,328
"27",27053007801,16,48438,10.5,163,66,99,328
"28",27053103700,20,52337,6.5,118,77,140,335
"29",27053000102,20,53304,6.1,102,83,151,336
"30",27053104802,10,39177,19.5,261,39,37,337
"31",27053105600,9,28118,23.9,298,20,27,345
"32",27053103700,20,53438,6.5,119,85,141,345
"33",27053106900,9,30846,27.1,304,25,17,346
"34",27053003200,13,37222,9.3,203,36,110,349
"35",27053106700,11,51074,19.4,240,72,38,350
"36",27053101300,13,41591,10.7,208,46,96,350
"37",27053007801,16,53682,10.5,164,86,100,350
"38",27053103700,20,55197,6.5,116,92,142,350
"39",27053102100,10,42868,19.2,260,51,41,352
"40",27053107400,18,70500,13,134,145,73,352
"41",27053102100,10,44091,19.2,258,53,42,353
"42",27053102100,10,45625,19.2,259,57,43,359
"43",27053106900,9,39208,27.1,302,40,18,360
"44",27053104902,10,49911,26.4,265,71,24,360
"45",27053105600,9,37298,23.9,299,37,28,364
"46",27053006800,9,41765,20.7,285,48,31,364
"47",27053106900,9,41417,27.1,303,45,19,367
"48",27053105600,9,38370,23.9,301,38,29,368
"49",27053104902,10,52863,26.4,264,80,25,369
"50",27053104002,26,53348,2.2,39,84,247,370
"51",27053103400,12,40288,10.2,225,43,103,371
"52",27053105700,8,35833,29.4,329,35,8,372
"53",27053110400,21,67981,6.4,96,135,144,375
"54",27053000102,20,65217,6.1,103,125,152,380
"55",27053012003,24,67500,4.2,45,132,203,380
"56",27053125900,10,35507,12.5,272,33,76,381
"57",27053006800,9,47035,20.7,288,62,32,382
"58",27053006800,9,48105,20.7,286,65,33,384
"59",27053103400,12,45966,10.2,224,59,104,387
"60",27053101600,8,12488,13.9,326,2,61,389
"61",27053100700,23,51571,1.8,60,74,255,389
"62",27053106700,11,62663,19.4,239,114,39,392
"63",27053001700,19,62962,6.2,130,116,146,392
"64",27053110400,21,74375,6.4,97,157,145,399
"65",27053006800,9,52941,20.7,287,81,34,402
"66",27053125900,10,43125,12.5,273,52,77,402
"67",27053126300,10,15485,8.8,280,6,116,402
"68",27053001700,19,66786,6.2,129,130,147,406
"69",27053105204,11,76492,31.8,236,168,3,407
"70",27053111100,20,65250,5.7,120,126,162,408
"71",27053105201,14,74643,14.8,192,159,59,410
"72",27053108700,14,71395,13.9,199,147,64,410
"73",27053000300,26,80083,4.4,35,180,197,412
"74",27053102800,9,35446,12.1,297,32,87,416
"75",27053000300,26,81641,4.4,34,185,198,417
"76",27053100700,23,58552,1.8,61,101,256,418
"77",27053105400,8,29144,13.3,327,22,70,419
"78",27053100400,13,42025,5.5,206,49,166,421
"79",27053106000,5,15227,19,373,5,44,422
"80",27053126101,13,72417,15.4,215,152,55,422
"81",27053126101,13,73047,15.4,214,153,56,423
"82",27053104801,4.5,13064,17.7,374,3,47,424
"83",27053106700,11,71734,19.4,238,149,40,427
"84",27053107000,11,46111,8.2,243,60,124,427
"85",27053106600,17,74531,9,158,158,113,429
"86",27053104100,14,22500,3.2,189,13,228,430
"87",27053104902,10,68977,26.4,268,138,26,432
"88",27053100500,23,56825,1.4,56,96,280,432
"89",27053106000,5,25491,19,372,16,45,433
"90",27053102800,9,42422,12.1,296,50,88,434
"91",27053126201,8,8125,10.5,335,1,98,434
"92",27053110500,23,60357,1.8,69,108,257,434
"93",27053104801,4.5,23772,17.7,375,14,48,437
"94",27053005902,8,41141,12.7,320,44,74,438
"95",27053008200,11,64519,12.2,232,122,84,438
"96",27053107000,11,51442,8.2,242,73,125,440
"97",27053108800,27,100455,6.1,32,252,156,440
"98",27053003300,15,53194,4.7,174,82,184,440
"99",27053101600,8,45125,13.9,325,54,62,441
"100",27053105700,8,58776,29.4,331,102,9,442
"101",27053105600,9,62344,23.9,300,112,30,442
"102",27053012003,24,82750,4.2,48,191,205,444
"103",27053109100,18,49763,2.5,136,70,239,445
"104",27053100500,23,60125,1.4,57,107,281,445
"105",27053102600,16,72065,8.1,168,150,128,446
"106",27053003300,15,53958,4.7,173,88,185,446
"107",27053106000,5,34615,19,371,31,46,448
"108",27053008200,11,67647,12.2,231,134,85,450
"109",27053105500,14,58152,5.8,193,99,158,450
"110",27053005902,8,45820,12.7,321,58,75,454
"111",27053000102,20,84619,6.1,105,194,155,454
"112",27053108900,31.5,63750,0.6,17,120,319,456
"113",27053101300,13,73299,10.7,207,154,97,458
"114",27053126000,7,20694,10.9,356,10,93,459
"115",27053102500,7,29354,11,347,23,90,460
"116",27053102600,16,75729,8.1,169,165,129,463
"117",27053100400,13,55179,5.5,205,91,167,463
"118",27053100200,17,35661,1.3,152,34,282,468
"119",27053107500,28.5,84868,1.9,21,196,253,470
"120",27053100800,14,52568,4,184,78,214,476
"121",27053126000,7,32356,10.9,357,27,94,478
"122",27053105201,14,94453,14.8,190,231,60,481
"123",27053108700,14,90458,13.9,197,220,65,482
"124",27053125600,11,75875,13.4,248,166,68,482
"125",27053008200,11,75714,12.2,233,164,86,483
"126",27053105700,8,70385,29.4,330,144,10,484
"127",27053008400,10,59833,8.1,251,106,127,484
"128",27053109200,11,49375,5.2,244,68,172,484
"129",27053003200,13,78385,9.3,204,172,111,487
"130",27053012003,24,93846,4.2,50,229,209,488
"131",27053105500,14,68516,5.8,194,136,159,489
"132",27053002200,8,39485,7.7,316,41,133,490
"133",27053104002,26,86444,2.2,38,203,249,490
"134",27053100700,23,78977,1.8,58,174,258,490
"135",27053107000,11,65559,8.2,241,127,126,494
"136",27053002400,17,66607,3.6,144,129,221,494
"137",27053100900,7,59787,17.4,343,104,49,496
"138",27053000300,26,103819,4.4,36,261,199,496
"139",27053104400,5,63214,29.2,369,118,11,498
"140",27053104002,26,89013,2.2,37,211,250,498
"141",27053104400,5,64471,29.2,368,121,12,501
"142",27053101600,8,62833,13.9,324,115,63,502
"143",27053106200,16,109205,16.9,171,278,54,503
"144",27053008300,12,56016,4.6,221,94,188,503
"145",27053100900,7,61792,17.4,344,110,50,504
"146",27053002700,8,45250,8,318,55,131,504
"147",27053108700,14,97542,13.9,198,241,66,505
"148",27053110500,23,79792,1.8,68,178,259,505
"149",27053008300,12,56989,4.6,220,97,189,506
"150",27053106500,23,89176,3,64,212,231,507
"151",27053126000,7,46410,10.9,355,61,95,511
"152",27053106500,23,89828,3,65,216,232,513
"153",27053110100,14,48984,2.3,202,67,244,513
"154",27053101800,12,56354,4.3,222,95,200,517
"155",27053106400,22,138750,8.8,76,323,120,519
"156",27053125700,9,52708,6.7,311,79,137,527
"157",27053012001,28,80179,0.6,27,181,320,528
"158",27053125900,10,79810,12.5,274,179,78,531
"159",27053103700,20,106389,6.5,117,271,143,531
"160",27053107500,28.5,103646,1.9,20,260,254,534
"161",27053000102,20,108333,6.1,104,276,157,537
"162",27053100200,17,59822,1.3,151,105,283,539
"163",27053100900,7,71635,17.4,342,148,51,541
"164",27053002200,8,55066,7.7,317,90,134,541
"165",27053002400,17,78844,3.6,145,173,223,541
"166",27053109200,11,64630,5.2,245,123,174,542
"167",27053108900,31.5,87679,0.6,15,207,321,543
"168",27053125700,9,57632,6.7,309,98,138,545
"169",27053103000,18,69375,1.5,131,140,276,547
"170",27053126101,13,109464,15.4,213,279,57,549
"171",27053000101,21,67413,0.4,79,131,339,549
"172",27053107600,41,97679,0.9,7,243,300,550
"173",27053125600,11,95694,13.4,247,236,69,552
"174",27053012101,21,111058,4.7,83,283,186,552
"175",27053012003,24,114423,4.2,46,297,210,553
"176",27053103600,21,96577,3.3,89,239,225,553
"177",27053104400,5,78301,29.2,370,171,13,554
"178",27053102800,9,77568,12.1,295,170,89,554
"179",27053125800,7,45313,6.1,354,56,148,558
"180",27053126102,10,87479,12.4,275,206,79,560
"181",27053000101,21,70292,0.4,77,143,340,560
"182",27053100700,23,97616,1.8,59,242,260,561
"183",27053101800,12,68809,4.3,223,137,202,562
"184",27053100800,14,75417,4,185,162,215,562
"185",27053108600,8,60500,8.6,333,109,121,563
"186",27053103600,21,99948,3.3,88,251,226,565
"187",27053000601,14,81146,4.2,178,184,204,566
"188",27053101900,9,14359,1.6,293,4,269,566
"189",27053106600,17,114519,9,157,298,115,570
"190",27053111100,20,111346,5.7,123,285,163,571
"191",27053102000,10,62426,4.3,257,113,201,571
"192",27053125800,7,49663,6.1,353,69,150,572
"193",27053012001,28,92813,0.6,25,225,322,572
"194",27053012102,21,80833,0.8,86,182,307,575
"195",27053009500,9,63125,5.2,290,117,173,580
"196",27053007700,8,64814,6.8,322,124,135,581
"197",27053126102,10,93125,12.4,276,227,80,583
"198",27053000601,14,84907,4.2,179,198,206,583
"199",27053109100,18,86736,2.5,138,205,240,583
"200",27053110200,17,69129,1.2,159,139,285,583
"201",27053110500,23,102394,1.8,67,256,261,584
"202",27053012001,28,95375,0.6,28,233,323,584
"203",27053108900,31.5,98281,0.6,16,247,324,587
"204",27053109700,11.5,62300,2.2,229,111,248,588
"205",27053107600,41,110074,0.9,5,281,302,588
"206",27053000601,14,85694,4.2,182,201,207,590
"207",27053111100,20,119886,5.7,122,305,164,591
"208",27053103400,12,105189,10.2,226,266,105,597
"209",27053012101,21,142094,4.7,84,327,187,598
"210",27053008100,5,67625,9.9,360,133,106,599
"211",27053000601,14,89632,4.2,180,214,208,602
"212",27053108600,8,72200,8.6,334,151,122,607
"213",27053002700,8,73813,8,319,156,132,607
"214",27053009600,7,58490,5.4,339,100,168,607
"215",27053110500,23,108272,1.8,70,275,262,607
"216",27053103000,18,84886,1.5,132,197,278,607
"217",27053012102,21,89773,0.8,85,215,308,608
"218",27053125700,9,75083,6.7,310,160,139,609
"219",27053104100,14,83375,3.2,188,192,229,609
"220",27053126300,10,89327,8.8,279,213,118,610
"221",27053111100,20,140075,5.7,121,324,165,610
"222",27053109000,29,105521,0.6,18,267,325,610
