"","GEOID","NAME","variable","estimate","moe"
"1","270530001011","Block Group 1; Census Tract 1.01; Hennepin County; Minnesota","median_income",70292,6102
"2","270530001012","Block Group 2; Census Tract 1.01; Hennepin County; Minnesota","median_income",95898,29727
"3","270530001013","Block Group 3; Census Tract 1.01; Hennepin County; Minnesota","median_income",67413,23653
"4","270530001014","Block Group 4; Census Tract 1.01; Hennepin County; Minnesota","median_income",99063,41295
"5","270530001021","Block Group 1; Census Tract 1.02; Hennepin County; Minnesota","median_income",53304,30589
"6","270530001022","Block Group 2; Census Tract 1.02; Hennepin County; Minnesota","median_income",65217,21373
"7","270530001023","Block Group 3; Census Tract 1.02; Hennepin County; Minnesota","median_income",108333,43603
"8","270530001024","Block Group 4; Census Tract 1.02; Hennepin County; Minnesota","median_income",84619,55428
"9","270530003001","Block Group 1; Census Tract 3; Hennepin County; Minnesota","median_income",81641,14391
"10","270530003002","Block Group 2; Census Tract 3; Hennepin County; Minnesota","median_income",80083,31214
"11","270530003003","Block Group 3; Census Tract 3; Hennepin County; Minnesota","median_income",103819,40120
"12","270530006011","Block Group 1; Census Tract 6.01; Hennepin County; Minnesota","median_income",81146,28763
"13","270530006012","Block Group 2; Census Tract 6.01; Hennepin County; Minnesota","median_income",84907,13092
"14","270530006013","Block Group 3; Census Tract 6.01; Hennepin County; Minnesota","median_income",89632,50408
"15","270530006014","Block Group 4; Census Tract 6.01; Hennepin County; Minnesota","median_income",129327,41569
"16","270530006015","Block Group 5; Census Tract 6.01; Hennepin County; Minnesota","median_income",85694,24627
"17","270530006031","Block Group 1; Census Tract 6.03; Hennepin County; Minnesota","median_income",113438,40608
"18","270530006032","Block Group 2; Census Tract 6.03; Hennepin County; Minnesota","median_income",153333,92867
"19","270530006033","Block Group 3; Census Tract 6.03; Hennepin County; Minnesota","median_income",123750,48829
"20","270530011001","Block Group 1; Census Tract 11; Hennepin County; Minnesota","median_income",76906,27159
"21","270530011002","Block Group 2; Census Tract 11; Hennepin County; Minnesota","median_income",81000,11135
"22","270530017001","Block Group 1; Census Tract 17; Hennepin County; Minnesota","median_income",66786,41361
"23","270530017002","Block Group 2; Census Tract 17; Hennepin County; Minnesota","median_income",62962,10441
"24","270530022001","Block Group 1; Census Tract 22; Hennepin County; Minnesota","median_income",39485,15339
"25","270530022002","Block Group 2; Census Tract 22; Hennepin County; Minnesota","median_income",55066,48757
"26","270530024001","Block Group 1; Census Tract 24; Hennepin County; Minnesota","median_income",66607,23267
"27","270530024002","Block Group 2; Census Tract 24; Hennepin County; Minnesota","median_income",78844,8557
"28","270530027001","Block Group 1; Census Tract 27; Hennepin County; Minnesota","median_income",45250,26222
"29","270530027002","Block Group 2; Census Tract 27; Hennepin County; Minnesota","median_income",73813,15632
"30","270530032001","Block Group 1; Census Tract 32; Hennepin County; Minnesota","median_income",37222,16984
"31","270530032002","Block Group 2; Census Tract 32; Hennepin County; Minnesota","median_income",78385,23061
"32","270530033001","Block Group 1; Census Tract 33; Hennepin County; Minnesota","median_income",53958,34070
"33","270530033002","Block Group 2; Census Tract 33; Hennepin County; Minnesota","median_income",53194,19113
"34","270530038011","Block Group 1; Census Tract 38.01; Hennepin County; Minnesota","median_income",63646,30928
"35","270530038012","Block Group 2; Census Tract 38.01; Hennepin County; Minnesota","median_income",27379,11137
"36","270530038021","Block Group 1; Census Tract 38.02; Hennepin County; Minnesota","median_income",75190,27210
"37","270530038022","Block Group 2; Census Tract 38.02; Hennepin County; Minnesota","median_income",32557,20526
"38","270530059011","Block Group 1; Census Tract 59.01; Hennepin County; Minnesota","median_income",19089,8713
"39","270530059012","Block Group 2; Census Tract 59.01; Hennepin County; Minnesota","median_income",30000,19050
"40","270530059013","Block Group 3; Census Tract 59.01; Hennepin County; Minnesota","median_income",31083,20740
"41","270530059021","Block Group 1; Census Tract 59.02; Hennepin County; Minnesota","median_income",41141,11899
"42","270530059022","Block Group 2; Census Tract 59.02; Hennepin County; Minnesota","median_income",NA,NA
"43","270530059023","Block Group 3; Census Tract 59.02; Hennepin County; Minnesota","median_income",45820,13708
"44","270530068001","Block Group 1; Census Tract 68; Hennepin County; Minnesota","median_income",41765,17744
"45","270530068002","Block Group 2; Census Tract 68; Hennepin County; Minnesota","median_income",48105,20061
"46","270530068003","Block Group 3; Census Tract 68; Hennepin County; Minnesota","median_income",52941,11548
"47","270530068004","Block Group 4; Census Tract 68; Hennepin County; Minnesota","median_income",47035,30967
"48","270530077001","Block Group 1; Census Tract 77; Hennepin County; Minnesota","median_income",64814,6641
"49","270530077002","Block Group 2; Census Tract 77; Hennepin County; Minnesota","median_income",81972,13900
"50","270530078011","Block Group 1; Census Tract 78.01; Hennepin County; Minnesota","median_income",48438,19178
"51","270530078012","Block Group 2; Census Tract 78.01; Hennepin County; Minnesota","median_income",53682,14649
"52","270530081001","Block Group 1; Census Tract 81; Hennepin County; Minnesota","median_income",67625,37688
"53","270530081002","Block Group 2; Census Tract 81; Hennepin County; Minnesota","median_income",102845,41256
"54","270530081003","Block Group 3; Census Tract 81; Hennepin County; Minnesota","median_income",81964,24070
"55","270530081004","Block Group 4; Census Tract 81; Hennepin County; Minnesota","median_income",79330,18068
"56","270530082001","Block Group 1; Census Tract 82; Hennepin County; Minnesota","median_income",24973,6105
"57","270530082002","Block Group 2; Census Tract 82; Hennepin County; Minnesota","median_income",67647,12083
"58","270530082003","Block Group 3; Census Tract 82; Hennepin County; Minnesota","median_income",64519,39277
"59","270530082004","Block Group 4; Census Tract 82; Hennepin County; Minnesota","median_income",75714,60096
"60","270530083001","Block Group 1; Census Tract 83; Hennepin County; Minnesota","median_income",56989,18125
"61","270530083002","Block Group 2; Census Tract 83; Hennepin County; Minnesota","median_income",56016,37916
"62","270530084001","Block Group 1; Census Tract 84; Hennepin County; Minnesota","median_income",112596,6870
"63","270530084002","Block Group 2; Census Tract 84; Hennepin County; Minnesota","median_income",59833,10548
"64","270530085001","Block Group 1; Census Tract 85; Hennepin County; Minnesota","median_income",79773,39402
"65","270530085002","Block Group 2; Census Tract 85; Hennepin County; Minnesota","median_income",41667,20789
"66","270530085003","Block Group 3; Census Tract 85; Hennepin County; Minnesota","median_income",59375,40800
"67","270530085004","Block Group 4; Census Tract 85; Hennepin County; Minnesota","median_income",52308,20120
"68","270530095001","Block Group 1; Census Tract 95; Hennepin County; Minnesota","median_income",79421,3322
"69","270530095002","Block Group 2; Census Tract 95; Hennepin County; Minnesota","median_income",63125,16817
"70","270530095003","Block Group 3; Census Tract 95; Hennepin County; Minnesota","median_income",88611,20114
"71","270530096001","Block Group 1; Census Tract 96; Hennepin County; Minnesota","median_income",75469,33367
"72","270530096002","Block Group 2; Census Tract 96; Hennepin County; Minnesota","median_income",58490,34314
"73","270530096003","Block Group 3; Census Tract 96; Hennepin County; Minnesota","median_income",82337,15836
"74","270530096004","Block Group 4; Census Tract 96; Hennepin County; Minnesota","median_income",101786,39251
"75","270530106001","Block Group 1; Census Tract 106; Hennepin County; Minnesota","median_income",203750,67561
"76","270530106002","Block Group 2; Census Tract 106; Hennepin County; Minnesota","median_income",162813,40652
"77","270530106003","Block Group 3; Census Tract 106; Hennepin County; Minnesota","median_income",117885,43201
"78","270530107001","Block Group 1; Census Tract 107; Hennepin County; Minnesota","median_income",108162,12654
"79","270530107002","Block Group 2; Census Tract 107; Hennepin County; Minnesota","median_income",152750,67008
"80","270530107003","Block Group 3; Census Tract 107; Hennepin County; Minnesota","median_income",231354,91649
"81","270530110001","Block Group 1; Census Tract 110; Hennepin County; Minnesota","median_income",88214,22864
"82","270530110002","Block Group 2; Census Tract 110; Hennepin County; Minnesota","median_income",65938,27893
"83","270530110003","Block Group 3; Census Tract 110; Hennepin County; Minnesota","median_income",114167,21361
"84","270530110004","Block Group 4; Census Tract 110; Hennepin County; Minnesota","median_income",141520,25430
"85","270530117031","Block Group 1; Census Tract 117.03; Hennepin County; Minnesota","median_income",170556,23019
"86","270530117032","Block Group 2; Census Tract 117.03; Hennepin County; Minnesota","median_income",142102,44353
"87","270530117033","Block Group 3; Census Tract 117.03; Hennepin County; Minnesota","median_income",129167,31547
"88","270530117034","Block Group 4; Census Tract 117.03; Hennepin County; Minnesota","median_income",158833,30092
"89","270530117035","Block Group 5; Census Tract 117.03; Hennepin County; Minnesota","median_income",151289,35197
"90","270530117041","Block Group 1; Census Tract 117.04; Hennepin County; Minnesota","median_income",172621,30523
"91","270530117042","Block Group 2; Census Tract 117.04; Hennepin County; Minnesota","median_income",170294,69871
"92","270530117043","Block Group 3; Census Tract 117.04; Hennepin County; Minnesota","median_income",123696,44530
"93","270530118001","Block Group 1; Census Tract 118; Hennepin County; Minnesota","median_income",89934,30993
"94","270530118002","Block Group 2; Census Tract 118; Hennepin County; Minnesota","median_income",132955,50034
"95","270530118003","Block Group 3; Census Tract 118; Hennepin County; Minnesota","median_income",106375,89105
"96","270530118004","Block Group 4; Census Tract 118; Hennepin County; Minnesota","median_income",129643,49346
"97","270530118005","Block Group 5; Census Tract 118; Hennepin County; Minnesota","median_income",145096,38817
"98","270530119981","Block Group 1; Census Tract 119.98; Hennepin County; Minnesota","median_income",129141,45502
"99","270530119982","Block Group 2; Census Tract 119.98; Hennepin County; Minnesota","median_income",107222,55843
"100","270530119983","Block Group 3; Census Tract 119.98; Hennepin County; Minnesota","median_income",95927,26740
"101","270530119984","Block Group 4; Census Tract 119.98; Hennepin County; Minnesota","median_income",73750,26505
"102","270530119985","Block Group 5; Census Tract 119.98; Hennepin County; Minnesota","median_income",112692,77505
"103","270530120011","Block Group 1; Census Tract 120.01; Hennepin County; Minnesota","median_income",92813,62861
"104","270530120012","Block Group 2; Census Tract 120.01; Hennepin County; Minnesota","median_income",175129,51607
"105","270530120013","Block Group 3; Census Tract 120.01; Hennepin County; Minnesota","median_income",80179,42822
"106","270530120014","Block Group 4; Census Tract 120.01; Hennepin County; Minnesota","median_income",95375,64962
"107","270530120015","Block Group 5; Census Tract 120.01; Hennepin County; Minnesota","median_income",143750,50344
"108","270530120016","Block Group 6; Census Tract 120.01; Hennepin County; Minnesota","median_income",155268,35874
"109","270530120031","Block Group 1; Census Tract 120.03; Hennepin County; Minnesota","median_income",67500,37785
"110","270530120032","Block Group 2; Census Tract 120.03; Hennepin County; Minnesota","median_income",114423,95108
"111","270530120033","Block Group 3; Census Tract 120.03; Hennepin County; Minnesota","median_income",190662,155017
"112","270530120034","Block Group 4; Census Tract 120.03; Hennepin County; Minnesota","median_income",82750,46664
