"","address","closest_store","transit_time","latitude","longitude"
"1","500 Nicollet Mall, Minneapolis, MN 55402","ST. OLAF CATHOLIC CHURCH SAMARITAN MINISTRY FOOD SHELF","8 mins",44.9787,-93.2712
"2","2633 16th Avenue South, Minneapolis, MN 55407","ISUROON","9 mins",44.9544,-93.2508
"3","1623 Sheridan Avenue North, Minneapolis, MN 55411","NORTHPOINT HEALTH & WELLNESS CENTER INC","9 mins",44.9959,-93.3124
"4","1643 Vincent Avenue North, Minneapolis, MN 55411","NORTHPOINT HEALTH & WELLNESS CENTER INC","12 mins",44.9964,-93.3163
"5","623 Taylor Street Northeast, Minneapolis, MN 55413","GOOD WORK FOOD SHELF.","19 mins",44.99579299,-93.24314503
"6","1643 Sheridan Avenue North, Minneapolis, MN 55411","NORTHPOINT HEALTH & WELLNESS CENTER INC","8 mins",44.9964,-93.3124
"7","1623 Upton Avenue North, Minneapolis, MN 55411","NORTHPOINT HEALTH & WELLNESS CENTER INC","12 mins",44.996,-93.315
"8","1653 Russell Avenue North, Minneapolis, MN 55411","NORTHPOINT HEALTH & WELLNESS CENTER INC","6 mins",44.9967,-93.3111
"9","1643 Thomas Avenue North, Minneapolis, MN 55411","NORTHPOINT HEALTH & WELLNESS CENTER INC","9 mins",44.9964,-93.3137
"10","1643 Washburn Avenue North, Minneapolis, MN 55411","NORTHPOINT HEALTH & WELLNESS CENTER INC","13 mins",44.9964,-93.3176
"11","1623 Vincent Avenue North, Minneapolis, MN 55411","NORTHPOINT HEALTH & WELLNESS CENTER INC","13 mins",44.9959,-93.3163
"12","1643 Russell Avenue North, Minneapolis, MN 55411","NORTHPOINT HEALTH & WELLNESS CENTER INC","6 mins",44.9964,-93.3111
"13","4733 York Avenue South, Minneapolis, MN 55410","INCARNATION","40 mins",44.91683432,-93.31977196
"14","1623 Washburn Avenue North, Minneapolis, MN 55411","NORTHPOINT HEALTH & WELLNESS CENTER INC","14 mins",44.9959,-93.3176
"15","1603 Sheridan Avenue North, Minneapolis, MN 55411","NORTHPOINT HEALTH & WELLNESS CENTER INC","9 mins",44.9953,-93.3124
"16","1623 Thomas Avenue North, Minneapolis, MN 55411","NORTHPOINT HEALTH & WELLNESS CENTER INC","10 mins",44.9959,-93.3137
"17","1643 Upton Avenue North, Minneapolis, MN 55411","NORTHPOINT HEALTH & WELLNESS CENTER INC","10 mins",44.9966,-93.315
"18","4723 York Avenue South, Minneapolis, MN 55410","INCARNATION","40 mins",44.9172,-93.3198
"19","3123 43rd Street West, Minneapolis, MN 55410","JOYCE FOOD SHELF","17 mins",44.92486301,-93.31972486
"20","103 Bedford Street Southeast, Minneapolis, MN 55414","TEAMSTERS HELPING TEAMSTERS FOOD","12 mins",44.9659,-93.2084
"21","103 Orlin Avenue Southeast, Minneapolis, MN 55414","TEAMSTERS HELPING TEAMSTERS FOOD","7 mins",44.9669,-93.2116
"22","133 Arthur Avenue Southeast, Minneapolis, MN 55414","GLENDALE FOOD SHELF","9 mins",44.9675,-93.2171
"23","1933 Ewing Avenue South, Minneapolis, MN 55416","JOYCE FOOD SHELF","46 mins",44.9638,-93.3267
"24","83 Seymour Avenue Southeast, Minneapolis, MN 55414","TEAMSTERS HELPING TEAMSTERS FOOD","7 mins",44.9668,-93.2128
"25","2543 38th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","30 mins",44.9561,-93.2175
