"","X","Y","OBJECTID","ADD_ID_HC","ANUMBER","ANUMBERSUF","ST_PRE_MOD","ST_PRE_DIR","ST_PRE_TYP","ST_NAME","ST_POS_TYP","ST_POS_DIR","ST_POS_MOD","SUB_AD_TYP","SUB_AD_ID","CONCAT_AD","MUNI_NAME","ZIP","ZIP4","LANDMARK_1","LANDMARK_2","FLR_LVL","ADD_TYPE","LONGITUDE","LATITUDE","PID","GlobalID","number"
"1",476328.4126,4986954.0894,27419,NA,4403,NA,NA,NA,NA,"Irving","Avenue","North",NA,NA,NA,"4403 Irving Avenue North","Minneapolis",55412,NA,NA,NA,0,"DOOR",-93.30052895,45.03564539,NA,"{36F55E1F-F8CF-4180-9C65-0FE376AF70FB}","3"
"2",479920.8364,4975163.4284,28251,NA,4023,NA,NA,NA,NA,"14th","Avenue","South",NA,NA,NA,"4023 14th Avenue South","Minneapolis",55407,NA,NA,NA,NA,NA,-93.2545,44.9296,NA,"{B3DF4712-3296-4032-BBB1-7E903E92A4AA}","3"
"3",478665.4874,4978972.9731,28274,NA,343,NA,NA,NA,NA,"19th","Street","East",NA,NA,NA,"343 19th Street East","Minneapolis",55404,NA,NA,NA,NA,NA,-93.2705,44.9639,NA,"{A6FC53A2-1815-4B8E-A4A5-4211651DC886}","3"
"4",477489.1578,4977039.4105,28334,NA,423,NA,NA,NA,NA,"31st","Street","West",NA,NA,NA,"423 31st Street West","Minneapolis",55408,NA,NA,NA,NA,NA,-93.2854,44.9464,NA,"{CC605DD8-9D0B-4538-9351-043BD2800EF3}","3"
"5",476502.352,4976457.6617,28336,NA,1413,NA,NA,NA,NA,"34th","Street","West",NA,NA,NA,"1413 34th Street West","Minneapolis",55408,NA,NA,NA,NA,NA,-93.2978,44.9412,NA,"{54C99B76-0004-4D47-AE1C-ABB5674DE607}","3"
"6",478790.8048,4981652.891,28374,NA,13,NA,NA,NA,NA,"4th","Avenue","North",NA,NA,NA,"13 4th Avenue North","Minneapolis",55401,NA,NA,NA,NA,NA,-93.2691,44.988,NA,"{2D5DE4A4-AC94-4F36-8659-074DDC3FFDA2}","3"
"7",478780.2215,4981587.8563,28376,NA,33,NA,NA,NA,NA,"4th","Avenue","North",NA,NA,NA,"33 4th Avenue North","Minneapolis",55401,NA,NA,NA,NA,NA,-93.2692,44.9874,NA,"{DD9C90DA-821F-404D-BC9A-079EFE5D74D7}","3"
"8",478798.2132,4981580.2363,28382,NA,53,NA,NA,NA,NA,"4th","Avenue","North",NA,NA,NA,"53 4th Avenue North","Minneapolis",55401,NA,NA,NA,NA,NA,-93.269,44.9874,NA,"{093555F9-41F4-45EA-960F-94A388840BD5}","3"
"9",480678.8784,4979381.8367,28413,NA,1913,NA,NA,NA,NA,"6th","Street","South",NA,NA,NA,"1913 6th Street South","Minneapolis",55454,NA,NA,NA,NA,NA,-93.245,44.9676,NA,"{3BAF8F9D-E1EF-4036-974D-5CDCE72E2B26}","3"
"10",479012.6052,4980067.2044,28416,NA,433,NA,NA,NA,NA,"7th","Street","South",NA,NA,NA,"433 7th Street South","Minneapolis",55415,NA,NA,NA,NA,NA,-93.2662,44.9737,NA,"{A8C54D7B-F5B5-4458-9E74-FDDE0465CC5E}","3"
"11",480561.267,4981929.3346,28417,NA,333,NA,NA,NA,NA,"8th","Street","Southeast",NA,NA,NA,"333 8th Street Southeast","Minneapolis",55414,NA,NA,NA,NA,NA,-93.2466,44.9906,NA,"{EB4D7148-B843-4A66-94E5-5ED622E7206A}","3"
"12",479013.4546,4979818.2845,28422,NA,523,NA,NA,NA,NA,"9th","Street","South",NA,NA,NA,"523 9th Street South","Minneapolis",55404,NA,NA,NA,NA,NA,-93.2662,44.9715,NA,"{FC05E181-1AD2-4033-A07E-E75F86914218}","3"
"13",479067.9101,4979790.3656,28425,NA,603,NA,NA,NA,NA,"9th","Street","South",NA,NA,NA,"603 9th Street South","Minneapolis",55404,NA,NA,NA,NA,NA,-93.2655,44.9713,NA,"{23DEB534-9EA4-4D15-B799-5A7337EB40F7}","3"
"14",477173.6088,4976045.511,28442,NA,3603,NA,NA,NA,NA,"Aldrich","Avenue","South",NA,NA,NA,"3603 Aldrich Avenue South","Minneapolis",55409,NA,NA,NA,NA,NA,-93.2893,44.9375,NA,"{5073F727-9398-4DC2-AB73-205D38A9DACF}","3"
"15",477093.4849,4977737.2257,28465,NA,2733,NA,NA,NA,NA,"Bryant","Avenue","South",NA,NA,NA,"2733 Bryant Avenue South","Minneapolis",55408,NA,NA,NA,NA,NA,-93.2904,44.9527,NA,"{557FE66D-F251-462B-A8A1-B2BD4FF9B538}","3"
"16",477068.7127,4975347.5501,28478,NA,3933,NA,NA,NA,NA,"Bryant","Avenue","South",NA,NA,NA,"3933 Bryant Avenue South","Minneapolis",55409,NA,NA,NA,NA,NA,-93.2906,44.9312,NA,"{8B8C88B9-FAD4-47C9-8DA6-BA4E555DBBF5}","3"
"17",481678.0971,4981640.6231,28544,NA,1313,NA,NA,NA,NA,"Como","Avenue","Southeast",NA,NA,NA,"1313 Como Avenue Southeast","Minneapolis",55414,NA,NA,NA,NA,NA,-93.2324,44.988,NA,"{44D77C77-F444-42B0-94CC-A095788ABDD6}","3"
"18",476901.7037,4978983.8213,28552,NA,1913,NA,NA,NA,NA,"Dupont","Avenue","South",NA,NA,NA,"1913 Dupont Avenue South","Minneapolis",55403,NA,NA,NA,NA,NA,-93.2929,44.9639,NA,"{67FCB583-BBAD-408A-9346-08BA0FC160B8}","3"
"19",476682.1706,4976730.6606,28594,NA,3233,NA,NA,NA,NA,"Fremont","Avenue","South",NA,NA,NA,"3233 Fremont Avenue South","Minneapolis",55408,NA,NA,NA,NA,NA,-93.2956,44.9436,NA,"{973F9093-D112-4E8C-B8AC-E4564E73DE93}","3"
"20",476589.0336,4977747.7249,28619,NA,2733,NA,NA,NA,NA,"Girard","Avenue","South",NA,NA,NA,"2733 Girard Avenue South","Minneapolis",55408,NA,NA,NA,NA,NA,-93.2968,44.9528,NA,"{3B3084A2-7F1B-4D03-9456-203B675AFF2C}","3"
"21",476598.1837,4976927.1062,28623,NA,3133,NA,NA,NA,NA,"Girard","Avenue","South",NA,NA,NA,"3133 Girard Avenue South","Minneapolis",55408,NA,NA,NA,NA,NA,-93.2966,44.9454,NA,"{F37AF99C-1540-4572-AB95-DC4143D03EA8}","3"
"22",477584.8865,4976794.2557,28634,NA,3213,NA,NA,NA,NA,"Grand","Avenue","South",NA,NA,NA,"3213 Grand Avenue South","Minneapolis",55408,NA,NA,NA,NA,NA,-93.2841,44.9442,NA,"{5F1F24F8-040A-4867-B06E-5BDEA8C8FE06}","3"
"23",475893.6293,4977135.8434,28727,NA,3033,NA,NA,"East",NA,"Bde Maka Ska","Parkway",NA,NA,NA,NA,"3033 East Bde Maka Ska Parkway","Minneapolis",55408,NA,"Lake Calhoun",NA,NA,NA,-93.3056,44.9473,NA,"{98B5D435-616F-4F73-B2B6-6E5DCE26E676}","3"
"24",474353.3181,4977240.279,28740,NA,3023,NA,NA,NA,NA,"Lake Shore","Drive",NA,NA,NA,NA,"3023 Lake Shore Drive","Minneapolis",55416,NA,NA,NA,NA,NA,-93.3251,44.9481,NA,"{E89D7D85-F357-41E3-8E24-FA381F7918AE}","3"
