"","X","Y","HealthFacilityIDNumber","FacilityCategory","BusinessName","AddrNum","AddrNumSuffix","StreetName","StreetType","PostDir","Unit","City","State","County","ZipCode","APN","Ward","Neighborhood","Latitude","Longitude","X_WebMercator","Y_WebMercator"
"1",-10385671.6773,5614860.0823,"LIC25555","GROCERY","KOWALSKIS UPTOWN MARKET",2440,"","HENNEPIN","AVE","","","Minneapolis","MN","Hennepin",55405,"3302924130065",7,"East Isles",44.95767,-93.29608,-10385671.6773,5614860.0823
"2",-10388248.0289,5607704.7039,"LIC50064","GROCERY","VINAIGRETTE",5006,"","XERXES","AVE","S","","Minneapolis","MN","Hennepin",55410,"1702824310065",13,"Fulton",44.91217,-93.31922,-10388248.0289,5607704.7039
"3",-10385595.842,5613079.2551,"LIC51809","FOODSHELF","JOYCE FOOD SHELF",1219,"","31ST","ST","W","","Minneapolis","MN","Hennepin",55408,"0402824120101",10,"South Uptown",44.94635,-93.29539,-10385595.842,5613079.2551
"4",-10380187.6034,5624355.3238,"LIC53056","FOODSHELF","SALVATION ARMY - NEED",2733,"","CENTRAL","AVE","NE","","Minneapolis","MN","Hennepin",55418,"1202924220193",1,"Audubon Park",45.018,-93.24681,-10380187.6034,5624355.3238
"5",-10385666.5894,5619950.6481,"LIC48531","GROCERY","JIMMYS FOOD",1121,"","12TH","AVE","N","","Minneapolis","MN","Hennepin",55411,"2102924120121",5,"Near - North",44.99002,-93.29603,-10385666.5894,5619950.6481
"9",-10385960.1103,5613230.2959,"LIC30064","GROCERY","PENZEYS SPICES",3028,"","HENNEPIN","AVE","","","Minneapolis","MN","Hennepin",55408,"0402824210071",10,"East Bde Maka Ska",44.94731,-93.29867,-10385960.1103,5613230.2959
"10",-10383697.6707,5613995.8422,"LIC385073","GROCERY","COLONIAL MARKET",2750,"","NICOLLET","AVE","","","Minneapolis","MN","Hennepin",55408,"3402924310115",10,"Whittier",44.95218,-93.27834,-10383697.6707,5613995.8422
"14",-10383702.8174,5614705.0225,"LIC380685","GROCERY","TT MARKET",2520,"","NICOLLET","AVE","","","Minneapolis","MN","Hennepin",55404,"3402924240094",10,"Whittier",44.95669,-93.27839,-10383702.8174,5614705.0225
"17",-10383601.8641,5614337.0618,"LIC47876","GROCERY","DAI LOI GROCERY STORE",2635,"","NICOLLET","AVE","","","Minneapolis","MN","Hennepin",55408,"3402924420468",10,"Whittier",44.95435,-93.27748,-10383601.8641,5614337.0618
"21",-10381341.7391,5613435.5121,"LIC39841","GROCERY","COMMUNITY HALAAL GROCERY",1204,"","LAKE","ST","E","","Minneapolis","MN","Hennepin",55407,"3502924430040",9,"Midtown Phillips",44.94861,-93.25718,-10381341.7391,5613435.5121
"25",-10389203.7827,5613449.3064,"LIC49791","GROCERY","NORTHERN TIER RETAIL LLC",3806,"","LAKE","ST","W","","Minneapolis","MN","Hennepin",55416,"3202924330164",7,"Cedar - Isles - Dean",44.9487,-93.32781,-10389203.7827,5613449.3064
"31",-10382959.1327,5618324.5201,"LIC44727","GROCERY","LUMBER EXPRESS MARKET",10,"","5TH","ST","S","GROUND FLR","Minneapolis","MN","Hennepin",55401,"2202924440106",7,"Downtown West",44.97969,-93.27171,-10382959.1327,5618324.5201
"32",-10382803.3445,5614190.0734,"LIC39863","GROCERY","COMPASS GROUP USA, INC",2701,"","WELLS FARGO","WAY","","","Minneapolis","MN","Hennepin",55408,"3402924410104",6,"Phillips West",44.95341,-93.27031,-10382803.3445,5614190.0734
"33",-10385417.5561,5613586.2498,"LIC371285","GROCERY","CUB FOODS # 1693",1104,"","LAGOON","AVE","","","Minneapolis","MN","Hennepin",55408,"3302924430054",10,"Lowry Hill East",44.94957,-93.29379,-10385417.5561,5613586.2498
"34",-10383605.2248,5611245.7537,"LIC392571","GROCERY","COLONIAL MARKET",3733,"","NICOLLET","AVE","","","Minneapolis","MN","Hennepin",55409,"0302824430148",8,"King Field",44.93469,-93.27751,-10383605.2248,5611245.7537
"39",-10380198.5936,5616352.9597,"LIC47190","GROCERY","AFRIK GROCERY",613,"","CEDAR","AVE","S","101","Minneapolis","MN","Hennepin",55454,"2502924320614",6,"Cedar Riverside",44.96716,-93.24691,-10380198.5936,5616352.9597
"40",-10384390.5735,5613348.4602,"LIC40699","GROCERY","LJ MULTISERVICES",403,"","LAKE","ST","W","","Minneapolis","MN","Hennepin",55408,"0302824220215",8,"Lyndale",44.94806,-93.28457,-10384390.5735,5613348.4602
"46",-10387031.8559,5604938.838,"LIC30037","GROCERY","PENN SUPER USA",5965,"","PENN","AVE","S","","Minneapolis","MN","Hennepin",55419,"2102824320010",13,"Armatage",44.89457,-93.30829,-10387031.8559,5604938.838
"49",-10381386.3442,5616547.1615,"LIC28747","GROCERY","EAST VILLAGE MARKET",1431,"","11TH","AVE","S","","Minneapolis","MN","Hennepin",55404,"2602924310131",6,"Elliot Park",44.96839,-93.25758,-10381386.3442,5616547.1615
"51",-10377573.21,5605553.3369,"LIC43851","GROCERY","CROSSTOWN MARKET",5750,"","34TH","AVE","S","","Minneapolis","MN","Hennepin",55417,"1902823230100",11,"Wenonah",44.89848,-93.22333,-10377573.21,5605553.3369
"58",-10377570.3631,5606583.8291,"LIC45273","GROCERY","NOKOMIS MARKET",3319,"","54TH","ST","E","","Minneapolis","MN","Hennepin",55417,"1902823220159",11,"Wenonah",44.90504,-93.2233,-10377570.3631,5606583.8291
"64",-10384822.2002,5615484.0674,"LIC49258","GROCERY","NUTRITION CITY",2108,"","LYNDALE","AVE","S","","Minneapolis","MN","Hennepin",55405,"3302924110181",10,"Lowry Hill East",44.96164,-93.28845,-10384822.2002,5615484.0674
"65",-10383707.9331,5611103.7093,"LIC50486","FOODSHELF","ALIVENESS PROJECT",3808,"","NICOLLET","AVE","","","Minneapolis","MN","Hennepin",55409,"1002824210228",8,"King Field",44.93379,-93.27844,-10383707.9331,5611103.7093
"66",-10378939.8226,5618738.3572,"LIC26667","GROCERY","TARGET EXPRESS #T3200",1329,"","5TH","ST","SE","","Minneapolis","MN","Hennepin",55414,"2402924420135",2,"Marcy Holmes",44.98232,-93.2356,-10378939.8226,5618738.3572
"68",-10382955.8109,5611281.1768,"LIC49623","FOODSHELF","SABATHANI FOOD SHELF",310,"","38TH","ST","E","","Minneapolis","MN","Hennepin",55409,"0302824440214",8,"Central",44.93491,-93.27167,-10382955.81088,5611281.17681
"77",-10384171.4865,5611086.636,"LIC40684","FOODSHELF","INCARNATION",3817,"","PLEASANT","AVE","","","Minneapolis","MN","Hennepin",55409,"1002824210088",8,"King Field",44.93368,-93.2826,-10384171.4865,5611086.636
"81",-10383816.4634,5618155.2386,"LIC53051","FOODSHELF","SALVATION ARMY - CCO",53,"","GLENWOOD","AVE","","","Minneapolis","MN","Hennepin",55403,"2202924340127",7,"Downtown West",44.97861,-93.27941,-10383816.4634,5618155.2386
"83",-10381503.8522,5615804.4968,"LIC39821","FOODSHELF","COMMUNITY EMERGENCY SERVICES",1900,"","11TH","AVE","S","","Minneapolis","MN","Hennepin",55404,"2602924340111",6,"Ventura Village",44.96367,-93.25864,-10381503.8522,5615804.4968
"85",-10382976.2245,5617381.6686,"LIC39428","GROCERY","BILLY & MARTYS",900,"","2ND","AVE","S","","Minneapolis","MN","Hennepin",55402,"2702924110160",7,"Downtown West",44.9737,-93.27186,-10382976.2245,5617381.6686
