"","GEOID","NAME","variable","estimate","moe"
"1","27053000101","Census Tract 1.01; Hennepin County; Minnesota","perc_noVehicles",0.4,0.8
"2","27053000102","Census Tract 1.02; Hennepin County; Minnesota","perc_noVehicles",6.1,4.2
"3","27053000300","Census Tract 3; Hennepin County; Minnesota","perc_noVehicles",4.4,3.7
"4","27053000601","Census Tract 6.01; Hennepin County; Minnesota","perc_noVehicles",4.2,3.4
"5","27053000603","Census Tract 6.03; Hennepin County; Minnesota","perc_noVehicles",0.4,0.7
"6","27053001100","Census Tract 11; Hennepin County; Minnesota","perc_noVehicles",3.6,4
"7","27053001700","Census Tract 17; Hennepin County; Minnesota","perc_noVehicles",6.2,6.7
"8","27053002200","Census Tract 22; Hennepin County; Minnesota","perc_noVehicles",7.7,8
"9","27053002400","Census Tract 24; Hennepin County; Minnesota","perc_noVehicles",3.6,2.7
"10","27053002700","Census Tract 27; Hennepin County; Minnesota","perc_noVehicles",8,4.9
"11","27053003200","Census Tract 32; Hennepin County; Minnesota","perc_noVehicles",9.3,9.7
"12","27053003300","Census Tract 33; Hennepin County; Minnesota","perc_noVehicles",4.7,6.4
"13","27053003801","Census Tract 38.01; Hennepin County; Minnesota","perc_noVehicles",29.6,17.2
"14","27053003802","Census Tract 38.02; Hennepin County; Minnesota","perc_noVehicles",29.6,14.8
"15","27053005901","Census Tract 59.01; Hennepin County; Minnesota","perc_noVehicles",27.5,10.6
"16","27053005902","Census Tract 59.02; Hennepin County; Minnesota","perc_noVehicles",12.7,8.3
"17","27053006800","Census Tract 68; Hennepin County; Minnesota","perc_noVehicles",20.7,7.8
"18","27053007700","Census Tract 77; Hennepin County; Minnesota","perc_noVehicles",6.8,4.6
"19","27053007801","Census Tract 78.01; Hennepin County; Minnesota","perc_noVehicles",10.5,7.7
"20","27053008100","Census Tract 81; Hennepin County; Minnesota","perc_noVehicles",9.9,5.5
"21","27053008200","Census Tract 82; Hennepin County; Minnesota","perc_noVehicles",12.2,5.8
"22","27053008300","Census Tract 83; Hennepin County; Minnesota","perc_noVehicles",4.6,5.2
"23","27053008400","Census Tract 84; Hennepin County; Minnesota","perc_noVehicles",8.1,9.7
"24","27053008500","Census Tract 85; Hennepin County; Minnesota","perc_noVehicles",0.4,0.8
"25","27053009500","Census Tract 95; Hennepin County; Minnesota","perc_noVehicles",5.2,5.1
"26","27053009600","Census Tract 96; Hennepin County; Minnesota","perc_noVehicles",5.4,5.2
"27","27053010600","Census Tract 106; Hennepin County; Minnesota","perc_noVehicles",0.4,0.6
"28","27053010700","Census Tract 107; Hennepin County; Minnesota","perc_noVehicles",0,1.4
"29","27053011000","Census Tract 110; Hennepin County; Minnesota","perc_noVehicles",0,0.9
"30","27053011703","Census Tract 117.03; Hennepin County; Minnesota","perc_noVehicles",0,0.9
"31","27053011704","Census Tract 117.04; Hennepin County; Minnesota","perc_noVehicles",0.5,0.8
"32","27053011800","Census Tract 118; Hennepin County; Minnesota","perc_noVehicles",0,0.7
"33","27053011998","Census Tract 119.98; Hennepin County; Minnesota","perc_noVehicles",0.9,1.5
"34","27053012001","Census Tract 120.01; Hennepin County; Minnesota","perc_noVehicles",0.6,1
"35","27053012003","Census Tract 120.03; Hennepin County; Minnesota","perc_noVehicles",4.2,4
"36","27053012101","Census Tract 121.01; Hennepin County; Minnesota","perc_noVehicles",4.7,6.5
"37","27053012102","Census Tract 121.02; Hennepin County; Minnesota","perc_noVehicles",0.8,1.2
"38","27053020101","Census Tract 201.01; Hennepin County; Minnesota","perc_noVehicles",1.9,1.8
"39","27053020102","Census Tract 201.02; Hennepin County; Minnesota","perc_noVehicles",0,2
"40","27053020201","Census Tract 202.01; Hennepin County; Minnesota","perc_noVehicles",2.2,3.6
"41","27053020202","Census Tract 202.02; Hennepin County; Minnesota","perc_noVehicles",4,4.4
"42","27053020301","Census Tract 203.01; Hennepin County; Minnesota","perc_noVehicles",5.5,5.8
"43","27053020302","Census Tract 203.02; Hennepin County; Minnesota","perc_noVehicles",10.8,8.7
