id,HMMReg2,HMMReg1
1,0.007,0.993
2,0.017,0.983
3,0.01,0.99
4,0.016,0.984
5,0.06,0.94
6,0.018,0.982
7,0.009,0.991
8,0.008,0.992
9,0.013,0.987
10,0.008,0.992
11,0.01,0.99
12,0.003,0.997
13,0.008,0.992
14,0.028,0.972
15,0.022,0.978
16,0.007,0.993
17,0.006,0.994
18,0.005,0.995
19,0.007,0.993
20,0.016,0.984
21,0.008,0.992
22,0.009,0.991
23,0.006,0.994
24,0.006,0.994
25,0.017,0.983
26,0.03,0.97
27,0.007,0.993
28,0.008,0.992
29,0.009,0.991
30,0.008,0.992
31,0.021,0.979
32,0.037,0.963
33,0.005,0.995
34,0.024,0.976
35,0.086,0.914
36,0.013,0.987
37,0.01,0.99
38,0.033,0.967
39,0.006,0.994
40,0.011,0.989
41,0.007,0.993
42,0.018,0.982
43,0.01,0.99
44,0.015,0.985
45,0.021,0.979
46,0.041,0.959
47,0.01,0.99
48,0.037,0.963
49,0.034,0.966
50,0.01,0.99
51,0.016,0.984
52,0.015,0.985
53,0.005,0.995
54,0.045,0.955
55,0.009,0.991
56,0.018,0.982
57,0.008,0.992
58,0.021,0.979
59,0.007,0.993
60,0.017,0.983
61,0.006,0.994
62,0.008,0.992
63,0.005,0.995
64,0.004,0.996
65,0.009,0.991
66,0.007,0.993
67,0.009,0.991
68,0.005,0.995
69,0.007,0.993
70,0.009,0.991
71,0.009,0.991
72,0.005,0.995
73,0.006,0.994
74,0.006,0.994
75,0.01,0.99
76,0.012,0.988
77,0.016,0.984
78,0.016,0.984
79,0.011,0.989
80,0.01,0.99
81,0.007,0.993
82,0.005,0.995
83,0.024,0.976
84,0.006,0.994
85,0.005,0.995
86,0.011,0.989
87,0.006,0.994
88,0.005,0.995
89,0.029,0.971
90,0.008,0.992
91,0.008,0.992
92,0.005,0.995
93,0.006,0.994
94,0.008,0.992
95,0.008,0.992
96,0.005,0.995
97,0.1,0.9
98,0.008,0.992
99,0.015,0.985
100,0.143,0.857
101,0.079,0.921
102,0.005,0.995
103,0.015,0.985
104,0.01,0.99
105,0.09,0.91
106,0.034,0.966
107,0.011,0.989
108,0.006,0.994
109,0.013,0.987
110,0.012,0.988
111,0.039,0.961
112,0.005,0.995
113,0.008,0.992
114,0.005,0.995
115,0.011,0.989
116,0.006,0.994
117,0.006,0.994
118,0.006,0.994
119,0.007,0.993
120,0.017,0.983
121,0.005,0.995
122,0.004,0.996
123,0.012,0.988
124,0.006,0.994
125,0.006,0.994
126,0.009,0.991
127,0.006,0.994
128,0.005,0.995
129,0.012,0.988
130,0.007,0.993
131,0.016,0.984
132,0.012,0.988
133,0.004,0.996
134,0.042,0.958
135,0.006,0.994
136,0.012,0.988
137,0.007,0.993
138,0.006,0.994
139,0.005,0.995
140,0.01,0.99
141,0.008,0.992
142,0.004,0.996
143,0.022,0.978
144,0.005,0.995
145,0.015,0.985
146,0.006,0.994
147,0.005,0.995
148,0.008,0.992
149,0.007,0.993
150,0.03,0.97
151,0.028,0.972
152,0.016,0.984
153,0.016,0.984
154,0.005,0.995
155,0.014,0.986
156,0.032,0.968
157,0.012,0.988
158,0.009,0.991
159,0.01,0.99
160,0.007,0.993
161,0.012,0.988
162,0.014,0.986
163,0.009,0.991
164,0.006,0.994
165,0.037,0.963
166,0.022,0.978
167,0.015,0.985
168,0.027,0.973
169,0.06,0.94
170,0.004,0.996
171,0.014,0.986
172,0.006,0.994
173,0.006,0.994
174,0.006,0.994
175,0.016,0.984
176,0.006,0.994
177,0.006,0.994
178,0.01,0.99
179,0.02,0.98
180,0.008,0.992
181,0.01,0.99
182,0.01,0.99
183,0.013,0.987
184,0.019,0.981
185,0.012,0.988
186,0.018,0.982
187,0.01,0.99
188,0.007,0.993
189,0.01,0.99
190,0.009,0.991
191,0.012,0.988
192,0.015,0.985
193,0.01,0.99
194,0.005,0.995
195,0.021,0.979
196,0.05,0.95
197,0.007,0.993
198,0.025,0.975
199,0.007,0.993
200,0.004,0.996
201,0.007,0.993
202,0.011,0.989
203,0.005,0.995
204,0.005,0.995
205,0.005,0.995
206,0.016,0.984
207,0.041,0.959
208,0.028,0.972
209,0.026,0.974
210,0.011,0.989
211,0.009,0.991
212,0.083,0.917
213,0.011,0.989
214,0.011,0.989
215,0.01,0.99
216,0.035,0.965
217,0.027,0.973
218,0.034,0.966
219,0.016,0.984
220,0.01,0.99
221,0.013,0.987
222,0.007,0.993
223,0.014,0.986
224,0.006,0.994
225,0.049,0.951
226,0.008,0.992
227,0.007,0.993
228,0.013,0.987
229,0.186,0.814
230,0.059,0.941
231,0.01,0.99
232,0.159,0.841
233,0.055,0.945
234,0.016,0.984
235,0.009,0.991
236,0.015,0.985
237,0.162,0.838
238,0.007,0.993
239,0.012,0.988
240,0.005,0.995
241,0.011,0.989
242,0.009,0.991
243,0.12,0.88
244,0.006,0.994
245,0.075,0.925
246,0.024,0.976
247,0.007,0.993
248,0.043,0.957
249,0.008,0.992
250,0.01,0.99
251,0.008,0.992
252,0.009,0.991
253,0.007,0.993
254,0.005,0.995
255,0.049,0.951
256,0.008,0.992
257,0.012,0.988
258,0.035,0.965
259,0.008,0.992
260,0.019,0.981
261,0.007,0.993
262,0.012,0.988
263,0.012,0.988
264,0.006,0.994
265,0.009,0.991
266,0.005,0.995
267,0.026,0.974
268,0.013,0.987
269,0.013,0.987
270,0.005,0.995
271,0.014,0.986
272,0.036,0.964
273,0.014,0.986
274,0.007,0.993
275,0.009,0.991
276,0.01,0.99
277,0.045,0.955
278,0.007,0.993
279,0.007,0.993
280,0.007,0.993
281,0.019,0.981
282,0.005,0.995
283,0.019,0.981
284,0.071,0.929
285,0.011,0.989
286,0.012,0.988
287,0.052,0.948
288,0.017,0.983
289,0.028,0.972
290,0.007,0.993
291,0.007,0.993
292,0.014,0.986
293,0.005,0.995
294,0.012,0.988
295,0.005,0.995
296,0.006,0.994
297,0.008,0.992
298,0.01,0.99
299,0.007,0.993
300,0.008,0.992
301,0.013,0.987
302,0.011,0.989
303,0.007,0.993
304,0.009,0.991
305,0.09,0.91
306,0.045,0.955
307,0.151,0.849
308,0.113,0.887
309,0.053,0.947
310,0.068,0.932
311,0.02,0.98
312,0.008,0.992
313,0.028,0.972
314,0.111,0.889
315,0.117,0.883
316,0.067,0.933
317,0.133,0.867
318,0.197,0.803
319,0.07,0.93
320,0.211,0.789
321,0.031,0.969
322,0.122,0.878
323,0.125,0.875
324,0.127,0.873
325,0.047,0.953
326,0.142,0.858
327,0.121,0.879
328,0.033,0.967
329,0.026,0.974
330,0.054,0.946
331,0.055,0.945
332,0.072,0.928
333,0.025,0.975
334,0.031,0.969
335,0.037,0.963
336,0.134,0.866
337,0.089,0.911
338,0.189,0.811
339,0.168,0.832
340,0.051,0.949
341,0.205,0.795
342,0.242,0.758
343,0.134,0.866
344,0.255,0.745
345,0.167,0.833
346,0.091,0.909
347,0.185,0.815
348,0.166,0.834
349,0.093,0.907
350,0.045,0.955
351,0.06,0.94
352,0.059,0.941
353,0.033,0.967
354,0.034,0.966
355,0.355,0.645
356,0.279,0.721
357,0.077,0.923
358,0.115,0.885
359,0.006,0.994
360,0.013,0.987
361,0.057,0.943
362,0.202,0.798
363,0.226,0.774
364,0.165,0.835
365,0.152,0.848
366,0.34,0.66
367,0.061,0.939
368,0.372,0.628
369,0.061,0.939
370,0.039,0.961
371,0.013,0.987
372,0.18,0.82
373,0.018,0.982
374,0.125,0.875
375,0.02,0.98
376,0.192,0.808
377,0.06,0.94
378,0.047,0.953
379,0.055,0.945
380,0.035,0.965
381,0.078,0.922
382,0.016,0.984
383,0.067,0.933
384,0.007,0.993
385,0.008,0.992
386,0.009,0.991
387,0.039,0.961
388,0.015,0.985
389,0.02,0.98
390,0.011,0.989
391,0.023,0.977
392,0.294,0.706
393,0.235,0.765
394,0.411,0.589
395,0.302,0.698
